Nomor Perkara;Tanggal Register;Klasifikasi Perkara;Tahun;Sumber
0222/Pdt.G/2012/MS.LGS;18 Sep 2012;Cerai Gugat;2012;ms-langsa
0223/Pdt.G/2012/MS.LGS;18 Sep 2012;Cerai Talak;2012;ms-langsa
0224/Pdt.G/2012/MS.LGS;19 Sep 2012;Cerai Gugat;2012;ms-langsa
0226/Pdt.G/2012/MS.LGS;19 Sep 2012;Cerai Gugat;2012;ms-langsa
0227/Pdt.G/2012/MS.LGS;19 Sep 2012;Cerai Gugat;2012;ms-langsa
0228/Pdt.G/2012/MS.LGS;20 Sep 2012;Cerai Gugat;2012;ms-langsa
0229/Pdt.G/2012/MS.LGS;20 Sep 2012;Cerai Gugat;2012;ms-langsa
0230/Pdt.G/2012/MS.LGS;20 Sep 2012;Cerai Gugat;2012;ms-langsa
0020/Pdt.P/2012/MS.LGS;21 Sep 2012;P3HP/Penetapan Ahli Waris;2012;ms-langsa
0233/Pdt.G/2012/MS.LGS;21 Sep 2012;Cerai Gugat;2012;ms-langsa
0231/Pdt.G/2012/MS.LGS;24 Sep 2012;Cerai Gugat;2012;ms-langsa
0232/Pdt.G/2012/MS.LGS;24 Sep 2012;Cerai Gugat;2012;ms-langsa
0234/Pdt.G/2012/MS.LGS;25 Sep 2012;Cerai Gugat;2012;ms-langsa
0237/Pdt.G/2012/MS.LGS;25 Sep 2012;Cerai Talak;2012;ms-langsa
0235/Pdt.G/2012/MS.LGS;26 Sep 2012;Cerai Gugat;2012;ms-langsa
0236/Pdt.G/2012/MS.LGS;26 Sep 2012;Cerai Gugat;2012;ms-langsa
0021/Pdt.P/2012/MS.LGS;03 Oct 2012;Istbat Nikah;2012;ms-langsa
0239/Pdt.G/2012/MS.LGS;03 Oct 2012;Cerai Gugat;2012;ms-langsa
0240/Pdt.G/2012/MS.LGS;03 Oct 2012;Cerai Gugat;2012;ms-langsa
0241/Pdt.G/2012/MS.LGS;03 Oct 2012;Cerai Gugat;2012;ms-langsa
0242/Pdt.G/2012/MS.LGS;03 Oct 2012;Cerai Talak;2012;ms-langsa
0022/Pdt.P/2012/MS.LGS;04 Oct 2012;Istbat Nikah;2012;ms-langsa
0243/Pdt.G/2012/MS.LGS;04 Oct 2012;Cerai Gugat;2012;ms-langsa
0244/Pdt.G/2012/MS.LGS;05 Oct 2012;Cerai Gugat;2012;ms-langsa
0245/Pdt.G/2012/MS.LGS;05 Oct 2012;Cerai Gugat;2012;ms-langsa
0246/Pdt.G/2012/MS.LGS;05 Oct 2012;Cerai Gugat;2012;ms-langsa
0247/Pdt.G/2012/MS.LGS;08 Oct 2012;Cerai Gugat;2012;ms-langsa
0248/Pdt.G/2012/MS.LGS;09 Oct 2012;Cerai Talak;2012;ms-langsa
0249/Pdt.G/2012/MS.LGS;10 Oct 2012;Izin Poligami;2012;ms-langsa
0250/Pdt.G/2012/MS.LGS;10 Oct 2012;Cerai Gugat;2012;ms-langsa
0251/Pdt.G/2012/MS.LGS;11 Oct 2012;Cerai Gugat;2012;ms-langsa
0252/Pdt.G/2012/MS.LGS;11 Oct 2012;Cerai Gugat;2012;ms-langsa
0253/Pdt.G/2012/MS.LGS;11 Oct 2012;Cerai Gugat;2012;ms-langsa
0254/Pdt.G/2012/MS.LGS;12 Oct 2012;Cerai Gugat;2012;ms-langsa
0255/Pdt.G/2012/MS.LGS;12 Oct 2012;Cerai Gugat;2012;ms-langsa
0256/Pdt.G/2012/MS.LGS;12 Oct 2012;Cerai Gugat;2012;ms-langsa
0023/Pdt.P/2012/MS.LGS;19 Oct 2012;Perwalian;2012;ms-langsa
0257/Pdt.G/2012/MS.LGS;22 Oct 2012;Cerai Gugat;2012;ms-langsa
0258/Pdt.G/2012/MS.LGS;22 Oct 2012;Cerai Gugat;2012;ms-langsa
0259/Pdt.G/2012/MS.LGS;22 Oct 2012;Cerai Gugat;2012;ms-langsa
0260/Pdt.G/2012/MS.LGS;23 Oct 2012;Cerai Talak;2012;ms-langsa
0262/Pdt.G/2012/MS.LGS;24 Oct 2012;Cerai Gugat;2012;ms-langsa
0261/Pdt.G/2012/MS.LGS;30 Oct 2012;Cerai Gugat;2012;ms-langsa
0263/Pdt.G/2012/MS.LGS;01 Nov 2012;Cerai Gugat;2012;ms-langsa
0264/Pdt.G/2012/MS.LGS;02 Nov 2012;Cerai Gugat;2012;ms-langsa
0265/Pdt.G/2012/MS.LGS;06 Nov 2012;Cerai Gugat;2012;ms-langsa
0266/Pdt.G/2012/MS.LGS;06 Nov 2012;Cerai Talak;2012;ms-langsa
0267/Pdt.G/2012/MS.LGS;07 Nov 2012;Cerai Gugat;2012;ms-langsa
0268/Pdt.G/2012/MS.LGS;08 Nov 2012;Cerai Talak;2012;ms-langsa
0269/Pdt.G/2012/MS.LGS;08 Nov 2012;Cerai Gugat;2012;ms-langsa
0270/Pdt.G/2012/MS.LGS;09 Nov 2012;Cerai Gugat;2012;ms-langsa
